sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
134,69220,29.867175,77.896505,-0.259,0.185,1.071,nan
135,69720,29.86719,77.896502,-0.275,-0.009,0.982,nan
136,70220,29.86719,77.896502,-0.293,-0.008,0.884,nan
137,70720,29.867205,77.896501,-0.25,-0.002,0.856,nan
138,71220,29.867205,77.896501,-0.218,0.024,0.773,nan
139,71720,29.867213,77.896498,-0.189,0.01,0.67,nan
140,72220,29.867213,77.896498,-0.164,0.122,0.679,nan
141,72720,29.867224,77.896494,-0.168,0.133,0.844,nan
142,73220,29.867224,77.896494,-0.225,0.214,0.966,nan
143,73720,29.867239,77.896491,-0.191,0.106,1.044,nan
144,74220,29.867239,77.896491,-0.289,0.142,1.231,nan
145,74720,29.867249,77.896487,-0.253,0.146,1.304,nan
146,75220,29.867249,77.896487,-0.284,0.074,1.032,nan
147,75720,29.867254,77.896481,-0.324,-0.032,1.211,nan
148,76220,29.867254,77.896481,-0.265,0.03,0.947,nan
149,76720,29.867261,77.896477,-0.241,0.046,0.724,nan
150,77220,29.867261,77.896477,-0.208,0.056,0.679,nan
151,77720,29.867274,77.896476,-0.168,0.101,0.687,nan
152,78220,29.867274,77.896476,-0.162,0.091,0.902,nan
153,78720,29.867286,77.896472,-0.217,0.217,0.863,nan
154,79220,29.867286,77.896472,-0.099,0.103,1.036,nan
155,79720,29.867286,77.896465,-0.334,0.092,0.923,nan
156,80220,29.867286,77.896465,-0.152,0.167,1.049,nan
157,80720,29.867301,77.896454,-0.205,0.31,1.311,nan
158,81220,29.867301,77.896454,-0.352,0.112,1.061,nan
159,81720,29.86731,77.896446,-0.264,0.1,1.131,nan
160,82220,29.86731,77.896446,-0.355,0.118,1.138,nan
161,82720,29.867317,77.896433,-0.281,-0.002,0.872,nan
162,83220,29.867317,77.896433,-0.214,0.098,0.782,nan
163,83720,29.867323,77.896422,-0.208,-0.019,0.696,nan
164,84220,29.867323,77.896422,-0.115,0.077,0.654,nan
165,84720,29.867332,77.896409,-0.165,-0.03,0.678,nan
166,85220,29.867332,77.896409,-0.157,0.127,0.655,nan
167,85720,29.867342,77.896397,-0.168,0.054,0.846,nan
168,86220,29.867342,77.896397,-0.285,0.196,0.784,nan
169,86720,29.867356,77.896385,-0.146,0.15,0.997,nan
170,87220,29.867356,77.896385,-0.294,0.164,0.984,nan
171,87720,29.86736,77.896375,-0.188,0.024,0.989,nan
172,88220,29.86736,77.896375,-0.205,0.183,1.036,nan
173,88720,29.867369,77.896365,-0.082,0.159,1.16,nan
174,89220,29.867369,77.896365,-0.187,0.319,1.059,nan
175,89720,29.867381,77.896353,-0.193,0.206,1.258,nan
176,90220,29.867381,77.896353,-0.337,0.117,1.111,nan
177,90720,29.867389,77.896343,-0.334,0.172,1.059,nan
178,91220,29.867389,77.896343,-0.235,-0.004,0.823,nan
179,91720,29.8674,77.896333,-0.322,0.024,0.806,nan
180,92220,29.8674,77.896333,-0.187,0.064,0.699,nan
181,92720,29.867411,77.896322,-0.187,0.06,0.715,nan
182,93220,29.867411,77.896322,-0.188,0.096,0.895,nan
183,93720,29.867421,77.896309,-0.276,0.206,0.962,nan
184,94220,29.867421,77.896309,-0.093,0.095,0.862,nan
185,94720,29.867428,77.896296,-0.298,0.175,1.029,nan
186,95220,29.867428,77.896296,-0.013,0.475,1.304,nan
187,95720,29.86743,77.89628,-0.244,0.257,1.21,nan
188,96220,29.86743,77.89628,-0.243,0.134,0.961,nan
189,96720,29.867432,77.896265,-0.24,0.123,1.236,nan
190,97220,29.867432,77.896265,-0.347,0.061,1.012,nan
191,97720,29.867435,77.89625,-0.269,0.022,0.914,nan
192,98220,29.867435,77.89625,-0.209,0.104,0.825,nan
193,98720,29.867436,77.896236,-0.118,0.063,0.732,nan
194,99220,29.867436,77.896236,-0.171,0.077,0.719,nan
195,99720,29.867436,77.896222,-0.15,0.014,0.742,nan
196,100220,29.867436,77.896222,-0.134,0.086,0.656,nan
197,100720,29.867435,77.896208,-0.102,0.173,0.783,nan
198,101220,29.867435,77.896208,-0.133,0.067,0.728,nan
199,101720,29.867437,77.896196,-0.169,0.09,1.031,nan
200,102220,29.867437,77.896196,-0.078,0.256,1.028,nan
201,102720,29.86744,77.896184,0.076,0.169,0.874,nan
202,103220,29.86744,77.896184,-0.088,0.21,1.166,nan
203,103720,29.867442,77.896178,-0.042,0.3,1.286,nan
204,104220,29.867442,77.896178,-0.077,0.275,1.287,nan
205,104720,29.867438,77.89617,-0.29,0.067,1.216,nan
206,105220,29.867438,77.89617,-0.194,0.206,1.064,nan
207,105720,29.86743,77.896161,-0.214,0.095,1.203,nan
208,106220,29.86743,77.896161,-0.126,0.163,1.096,nan
209,106720,29.867421,77.896153,-0.178,0.129,1.099,nan
210,107220,29.867421,77.896153,-0.104,0.065,0.953,nan
211,107720,29.86741,77.896142,-0.246,0.11,1.057,nan
212,108220,29.86741,77.896142,-0.161,0.106,1.012,nan
213,108720,29.867399,77.896134,-0.182,0.035,0.851,nan
214,109220,29.867399,77.896134,-0.125,0.039,0.783,nan
215,109720,29.867386,77.896126,-0.138,0.049,0.722,nan
216,110220,29.867386,77.896126,-0.117,0.003,0.717,nan
217,110720,29.867377,77.896115,-0.138,0.08,0.708,nan
218,111220,29.867377,77.896115,-0.103,0.15,0.835,nan
219,111720,29.867366,77.896107,-0.136,0.132,0.66,nan
220,112220,29.867366,77.896107,-0.05,0.131,0.91,nan
221,112720,29.867357,77.8961,-0.167,0.155,0.897,nan
222,113220,29.867357,77.8961,-0.046,0.242,1.019,nan
223,113720,29.867349,77.896094,-0.2,0.156,1.011,nan
224,114220,29.867349,77.896094,-0.038,0.04,0.909,nan
225,114720,29.867341,77.89609,-0.193,0.288,0.985,nan
226,115220,29.867341,77.89609,-0.037,0.148,0.941,nan
227,115720,29.867335,77.896085,-0.018,0.411,1.116,nan
228,116220,29.867335,77.896085,-0.033,0.319,1.394,nan
229,116720,29.867327,77.89608,-0.12,0.113,1.24,nan
230,117220,29.867327,77.89608,0.406,-0.14,1.136,nan
231,117720,29.867319,77.896075,0.065,-0.069,1.06,nan
232,118220,29.867319,77.896075,0.013,-0.154,1.082,nan
233,118720,29.867311,77.896073,-0.019,-0.165,1.083,nan
234,119220,29.867311,77.896073,-0.065,-0.172,0.987,nan
235,119720,29.867302,77.896071,-0.057,-0.173,0.922,nan
236,120220,29.867302,77.896071,-0.041,-0.139,0.958,nan
237,120720,29.867292,77.896071,-0.023,-0.147,0.878,nan
238,121220,29.867292,77.896071,-0.058,-0.134,0.815,nan
239,121720,29.867283,77.89607,-0.019,-0.163,0.742,nan
240,122220,29.867283,77.89607,-0.018,-0.111,0.704,nan
241,122720,29.867272,77.896068,-0.017,-0.111,0.721,nan
242,123220,29.867272,77.896068,-0.068,-0.053,0.833,nan
243,123720,29.867262,77.896067,0.032,-0.137,0.963,nan
244,124220,29.867262,77.896067,-0.033,-0.059,0.951,nan
245,124720,29.867251,77.896066,0.051,-0.068,0.95,nan
246,125220,29.867251,77.896066,-0.014,-0.093,1.025,nan
247,125720,29.867239,77.896067,0.082,-0.1,0.948,nan
248,126220,29.867239,77.896067,0.019,0.008,1.121,nan
249,126720,29.867228,77.896068,0.033,-0.063,1.243,nan
250,127220,29.867228,77.896068,-0.104,-0.13,1.267,nan
251,127720,29.867218,77.896071,0.017,-0.144,1.162,nan
252,128220,29.867218,77.896071,-0.045,-0.146,1.1,nan
253,128720,29.867207,77.896076,0.135,-0.126,0.848,nan
254,129220,29.867207,77.896076,-0.016,-0.121,1.036,nan
255,129720,29.867195,77.896081,-0.072,-0.163,1.029,nan
256,130220,29.867195,77.896081,-0.042,-0.198,0.774,nan
257,130720,29.867183,77.896087,-0.049,-0.146,0.816,nan
258,131220,29.867183,77.896087,-0.01,-0.152,0.687,nan
259,131720,29.867171,77.896093,-0.026,-0.153,0.731,nan
260,132220,29.867171,77.896093,-0.072,-0.154,0.719,nan
261,132720,29.867159,77.896101,0.001,-0.068,0.648,nan
262,133220,29.867159,77.896101,-0.003,-0.113,0.771,nan
263,133720,29.867149,77.896108,0.016,-0.044,0.667,nan
264,134220,29.867149,77.896108,-0.017,-0.213,0.91,nan
265,134720,29.867138,77.896115,-0.016,-0.014,0.892,nan
266,135220,29.867138,77.896115,0.033,-0.045,1.001,nan
267,135720,29.867128,77.896123,-0.051,0.018,1.007,nan
268,136220,29.867128,77.896123,0.008,-0.12,0.967,nan
269,136720,29.867119,77.896133,-0.076,0.016,1.116,nan
270,137220,29.867119,77.896133,0.079,-0.098,1.006,nan
271,137720,29.867111,77.896141,0.011,0.019,1.13,nan
272,138220,29.867111,77.896141,0.113,-0.012,1.218,nan
273,138720,29.867103,77.896149,0.014,-0.04,1.238,nan
274,139220,29.867103,77.896149,-0.007,-0.154,1.099,nan
275,139720,29.867091,77.896156,-0.072,-0.097,1.123,nan
276,140220,29.867091,77.896156,0.007,-0.089,1.197,nan
277,140720,29.867084,77.896164,-0.016,-0.038,1.206,nan
278,141220,29.867084,77.896164,-0.015,-0.112,1.199,nan
279,141720,29.867075,77.896174,-0.035,-0.132,0.984,nan
280,142220,29.867075,77.896174,-0.061,-0.043,1.202,nan
281,142720,29.867068,77.896183,-0.049,-0.153,1.103,nan
282,143220,29.867068,77.896183,-0.05,-0.113,1.029,nan
283,143720,29.86706,77.896193,0.08,-0.082,1.035,nan
284,144220,29.86706,77.896193,-0.051,-0.129,1.008,nan
285,144720,29.867051,77.896205,-0.013,-0.158,1.017,nan
286,145220,29.867051,77.896205,-0.044,-0.123,0.878,nan
287,145720,29.867046,77.896217,-0.022,-0.128,1.034,nan
288,146220,29.867046,77.896217,-0.08,-0.227,1.044,nan
289,146720,29.867037,77.896227,-0.039,-0.182,0.883,nan
290,147220,29.867037,77.896227,-0.028,-0.126,0.919,nan
291,147720,29.867028,77.896238,-0.109,-0.215,0.759,nan
292,148220,29.867028,77.896238,-0.06,-0.117,0.713,nan
293,148720,29.867021,77.896248,-0.035,-0.088,0.69,nan
294,149220,29.867021,77.896248,-0.008,-0.075,0.662,nan
295,149720,29.86701,77.896257,-0.077,-0.014,0.839,nan
296,150220,29.86701,77.896257,-0.021,-0.023,0.81,nan
297,150720,29.866998,77.896264,0.064,-0.049,1.018,nan
298,151220,29.866998,77.896264,0.014,0.0,1.006,nan
299,151720,29.866989,77.896269,0.103,-0.119,1.079,nan
300,152220,29.866989,77.896269,-0.028,-0.036,0.994,nan
301,152720,29.866979,77.896274,0.076,-0.003,0.988,nan
302,153220,29.866979,77.896274,-0.055,0.09,1.188,nan
303,153720,29.866975,77.896278,0.093,-0.068,1.224,nan
304,154220,29.866975,77.896278,-0.078,-0.098,1.203,nan
305,154720,29.866964,77.896281,-0.042,-0.035,1.148,nan
306,155220,29.866964,77.896281,-0.014,-0.062,1.097,nan
307,155720,29.86695,77.896284,-0.059,-0.153,1.006,nan
308,156220,29.86695,77.896284,-0.036,-0.201,1.029,nan
309,156720,29.866941,77.896284,-0.014,-0.069,0.963,nan
310,157220,29.866941,77.896284,-0.1,-0.19,0.697,nan
311,157720,29.866927,77.896287,-0.043,-0.11,0.613,nan
312,158220,29.866927,77.896287,-0.009,-0.211,0.681,nan
313,158720,29.866919,77.896291,0.124,-0.056,0.619,nan
314,159220,29.866919,77.896291,0.003,-0.224,0.968,nan
315,159720,29.86691,77.896294,-0.114,0.055,0.962,nan
316,160220,29.86691,77.896294,-0.029,-0.08,1.066,nan
317,160720,29.866905,77.896292,-0.182,0.045,1.147,nan
318,161220,29.866905,77.896292,-0.045,-0.055,0.967,nan
319,161720,29.8669,77.896295,-0.086,-0.149,0.946,nan
320,162220,29.8669,77.896295,-0.109,-0.116,0.977,nan
321,162720,29.866897,77.896295,-0.091,-0.159,0.963,nan
322,163220,29.866897,77.896295,-0.066,-0.124,0.98,nan
