sequence_no,latitude,longitude,ax,ay,az,baro_alt
46,30.37936865,69.34731919,-0.17402715,-0.31866487,9.77015524,1045.46552265
47,30.37941548,69.34719997,-0.15388586,-0.24241853,9.83885361,1045.98224983
48,30.37945971,69.34707943,-0.07073413,-0.27523116,9.79984773,1046.48420198
49,30.37950131,69.34695764,-0.09906759,-0.25296709,9.82855729,1046.94358341
50,30.37954026,69.34683467,-0.19698534,-0.26495736,9.77980074,1047.37319440
51,30.37957653,69.34671061,-0.08514523,-0.34052993,9.81432949,1047.79090358
52,30.37961010,69.34658554,-0.11305562,-0.32954170,9.80221614,1048.14919982
53,30.37964094,69.34645952,-0.12004044,-0.26642998,9.86838910,1048.48917831
54,30.37966905,69.34633265,-0.04794892,-0.27534628,9.82272104,1048.78721257
55,30.37969439,69.34620499,-0.01927154,-0.30878681,9.82688013,1049.05483046
56,30.37971696,69.34607664,-0.01650157,-0.30355792,9.78940615,1049.29380695
57,30.37973674,69.34594767,-0.09723067,-0.24702817,9.78561969,1049.51210558
58,30.37975372,69.34581817,-0.06289972,-0.34178073,9.78837209,1049.68494642
59,30.37976788,69.34568821,-0.02301528,-0.28594085,9.82972261,1049.86092108
60,30.37977922,69.34555789,0.01708445,-0.32430102,9.78895078,1049.96223613
61,30.37978774,69.34542727,-0.04774585,-0.32577266,9.82448874,1050.04597766
62,30.37979341,69.34529644,-0.02514939,-0.26044809,9.91377004,1050.09287806
63,30.37979625,69.34516549,-0.06325248,-0.27441524,9.85355624,1050.14569325
64,30.37979625,69.34503451,-0.05981033,-0.27511030,9.79369882,1050.14166538
65,30.37979341,69.34490356,0.04856202,-0.25041211,9.87006070,1050.12251377
66,30.37978774,69.34477273,0.08367844,-0.31433674,9.78959623,1050.02120987
67,30.37977922,69.34464211,0.02018663,-0.28079095,9.70809377,1049.92319958
68,30.37976788,69.34451179,0.08186945,-0.32970472,9.75959568,1049.80594808
69,30.37975372,69.34438183,0.05766025,-0.29708740,9.71646040,1049.64094282
70,30.37973674,69.34425233,0.01518312,-0.31870932,9.79242433,1049.46410077
71,30.37971696,69.34412336,0.07333957,-0.30606162,9.81092092,1049.22422879
72,30.37969439,69.34399501,0.13996740,-0.27966644,9.89382187,1048.99166111
73,30.37966905,69.34386735,0.06903022,-0.34865276,9.82634637,1048.74582206
74,30.37964094,69.34374048,0.15676491,-0.20124543,9.79904497,1048.41587169
75,30.37961010,69.34361446,-0.04479291,-0.35409553,9.85147028,1048.05359690
76,30.37957653,69.34348939,0.13489663,-0.36224208,9.69944323,1047.69885372
77,30.37954026,69.34336533,0.10570178,-0.24117463,9.82178073,1047.31643253
78,30.37950131,69.34324236,0.09388297,-0.25685567,9.84854326,1046.86202453
79,30.37945971,69.34312057,0.12083654,-0.26240420,9.73607069,1046.38001451
80,30.37941548,69.34300003,0.02421179,-0.25917886,9.86718770,1045.87141857
81,30.37936865,69.34288081,0.11987032,-0.28801086,9.82692482,1045.31253561
82,30.37931925,69.34276300,0.15589057,-0.32888211,9.78923560,1044.73347363
83,30.37926732,69.34264666,0.21902349,-0.27667063,9.84163909,1044.12436388
84,30.37921288,69.34253188,0.12621745,-0.31058328,9.92353464,1043.49201804
85,30.37915596,69.34241871,0.11861237,-0.22405874,9.81909331,1042.84676432
86,30.37909661,69.34230724,0.14075483,-0.27608483,9.82241103,1042.17972888
87,30.37903486,69.34219753,0.21831367,-0.30575431,9.78703196,1041.51228712
88,30.37897076,69.34208966,0.19557302,-0.27612918,9.76750778,1040.76758093
89,30.37890433,69.34198368,0.15912622,-0.23482949,9.85151679,1040.03670239
90,30.37883563,69.34187968,0.21763912,-0.27891711,9.76719581,1039.25650963
91,30.37876470,69.34177771,0.20306988,-0.28693835,9.81357831,1038.45475340
92,30.37869157,69.34167784,0.25276332,-0.22858414,9.78611713,1037.64313872
93,30.37861631,69.34158013,0.17521442,-0.22330928,9.83394899,1036.77175444
94,30.37853895,69.34148464,0.19978714,-0.25554509,9.82668311,1035.90719455
95,30.37845954,69.34139143,0.20228146,-0.24824477,9.86187700,1035.01559260
96,30.37837814,69.34130057,0.15428760,-0.20744335,9.78449918,1034.10835753
97,30.37829479,69.34121211,0.24770217,-0.28566472,9.79650625,1033.17548761
98,30.37820956,69.34112611,0.25123463,-0.27771363,9.76106181,1032.26496878
99,30.37812248,69.34104261,0.24357280,-0.23721164,9.78778534,1031.27222860
100,30.37803362,69.34096168,0.23656935,-0.20578364,9.82886502,1030.26188669
101,30.37794304,69.34088336,0.18235492,-0.17326451,9.84784943,1029.23060185
102,30.37785079,69.34080770,0.23675606,-0.10862144,9.76389173,1028.18221891
103,30.37775692,69.34073476,0.24515465,-0.13297042,9.85348030,1027.11440684
104,30.37766150,69.34066457,0.22651289,-0.17720341,9.87778189,1026.06600367
105,30.37756460,69.34059718,0.26273044,-0.16340350,9.83067175,1025.00579375
106,30.37746626,69.34053264,0.29499420,-0.20572276,9.90383979,1023.89001544
107,30.37736655,69.34047098,0.37292432,-0.14956727,9.77131054,1022.75396472
108,30.37726554,69.34041225,0.29099130,-0.15602598,9.74776726,1021.62966193
109,30.37716328,69.34035647,0.29860904,-0.11831912,9.72106399,1020.47128073
110,30.37705985,69.34030370,0.28529785,-0.16859367,9.88480222,1019.32372750
111,30.37695531,69.34025395,0.19618767,-0.09396151,9.84271828,1018.15543768
112,30.37684972,69.34020726,0.29372210,-0.03591286,9.80722077,1016.94138454
113,30.37674316,69.34016367,0.30079451,-0.11053769,9.82399843,1015.77796011
114,30.37663568,69.34012319,0.42349223,-0.07749759,9.75372555,1014.60962730
115,30.37652736,69.34008586,0.29306950,-0.05549783,9.93228760,1013.38401210
116,30.37641826,69.34005169,0.31993116,-0.10243106,9.81646106,1012.15456212
117,30.37630846,69.34002071,0.30509190,-0.06347840,9.81546974,1010.93102483
118,30.37619802,69.33999294,0.25017348,-0.06631921,9.84628833,1009.70168338
119,30.37608701,69.33996839,0.36733349,-0.05428855,9.83405046,1008.47283468
120,30.37597551,69.33994709,0.34917804,-0.09000899,9.82119420,1007.26582099
121,30.37586357,69.33992904,0.35232523,-0.04228671,9.77047628,1006.01066017
122,30.37575129,69.33991426,0.26829895,-0.01073853,9.83357342,1004.73946518
123,30.37563872,69.33990275,0.38470455,0.04481502,9.90410122,1003.45384178
124,30.37552593,69.33989452,0.24507010,0.02813519,9.87727100,1002.17917920
125,30.37541300,69.33988959,0.34490426,0.09575710,9.88965933,1000.91726799
126,30.37530000,69.33988794,0.42528363,-0.04233555,9.78443922,999.69150882
127,30.37518700,69.33988959,0.26623403,0.04758421,9.76051976,998.41990792
128,30.37507407,69.33989452,0.28724652,0.02106912,9.80371065,997.16433970
129,30.37496128,69.33990275,0.32014522,0.12931850,9.81278625,995.90597423
130,30.37484871,69.33991426,0.28939105,-0.01267276,9.86470958,994.67451304
131,30.37473643,69.33992904,0.23623515,-0.00634765,9.72537677,993.47342982
132,30.37462449,69.33994709,0.31620178,0.01354258,9.88647752,992.21559466
133,30.37451299,69.33996839,0.25846621,-0.05483628,9.80209961,990.96378629
134,30.37440198,69.33999294,0.33387197,0.03288460,9.78865595,989.74863892
135,30.37429154,69.34002071,0.26263617,0.02899220,9.75939478,988.53302215
136,30.37418174,69.34005169,0.38432421,0.08220271,9.72725717,987.34826035
137,30.37407264,69.34008586,0.26569113,0.09945784,9.85115853,986.14657949
138,30.37396432,69.34012319,0.28658448,0.18381357,9.81366590,984.93514329
139,30.37385684,69.34016367,0.34100599,0.14510437,9.74550196,983.75258184
140,30.37375028,69.34020726,0.23623979,0.07625450,9.74524606,982.59101766
141,30.37364469,69.34025395,0.30642079,0.06762907,9.79321077,981.43507902
142,30.37354015,69.34030370,0.35748337,0.14452480,9.89345108,980.28501264
143,30.37343672,69.34035647,0.20864599,0.06122046,9.79702043,979.15900939
144,30.37333446,69.34041225,0.29496321,0.22602798,9.73484285,978.04866420
145,30.37323345,69.34047098,0.29525655,0.20056505,9.79771285,976.95690378
146,30.37313374,69.34053264,0.31770617,0.12518283,9.79636382,975.86551459
147,30.37303540,69.34059718,0.21294412,0.06993956,9.67515567,974.77355222
148,30.37293850,69.34066457,0.20477189,0.23014631,9.80728526,973.70430300
149,30.37284308,69.34073476,0.29272383,0.16347949,9.79845327,972.67336884
150,30.37274921,69.34080770,0.27713961,0.23774422,9.84481032,971.61975673
151,30.37265696,69.34088336,0.27031297,0.10266786,9.90244780,970.60830817
152,30.37256638,69.34096168,0.27044587,0.15884114,9.86632825,969.60071943
153,30.37247752,69.34104261,0.21429747,0.19537347,9.79655557,968.62130894
154,30.37239044,69.34112611,0.25492981,0.20363846,9.75467370,967.68725315
155,30.37230521,69.34121211,0.25283549,0.18483717,9.93866799,966.75242184
156,30.37222186,69.34130057,0.19717859,0.24440300,9.81296092,965.83626647
157,30.37214046,69.34139143,0.32075207,0.16566483,9.81069646,964.91413836
158,30.37206105,69.34148464,0.24557852,0.21757388,9.80879375,964.05685534
159,30.37198369,69.34158013,0.15660507,0.23621271,9.81990424,963.22083519
160,30.37190843,69.34167784,0.24314476,0.26127955,9.80278198,962.43898921
161,30.37183530,69.34177771,0.15559699,0.27634925,9.78131690,961.63206669
162,30.37176437,69.34187968,0.23757024,0.18959522,9.78265705,960.86053671
163,30.37169567,69.34198368,0.24990552,0.17402517,9.80836234,960.11495939
164,30.37162924,69.34208966,0.14458011,0.31935991,9.78282876,959.42176936
165,30.37156514,69.34219753,0.22730427,0.27667559,9.77435771,958.72141167
166,30.37150339,69.34230724,0.19318261,0.22705512,9.81532151,958.05527236
167,30.37144404,69.34241871,0.20694569,0.34628956,9.79725114,957.42287028
168,30.37138712,69.34253188,0.25387670,0.27859846,9.88519965,956.80961257
169,30.37133268,69.34264666,0.13986155,0.33569005,9.67745151,956.21165696
170,30.37128075,69.34276300,0.10744198,0.28383679,9.86457534,955.65484982
171,30.37123135,69.34288081,0.09355922,0.38705679,9.87230426,955.14432850
172,30.37118452,69.34300003,0.09006340,0.37516557,9.70633049,954.62083796
173,30.37114029,69.34312057,0.11973515,0.27814793,9.79286562,954.14989106
174,30.37109869,69.34324236,0.13330610,0.34218874,9.79142796,953.69193785
175,30.37105974,69.34336533,0.12266787,0.32870760,9.73962442,953.30182614
176,30.37102347,69.34348939,0.14270859,0.36751176,9.77110917,952.88755153
177,30.37098990,69.34361446,0.09445160,0.25328647,9.75447121,952.52300837
178,30.37095906,69.34374048,0.15887104,0.33809723,9.89761352,952.20785900
179,30.37093095,69.34386735,0.06529989,0.35878601,9.85678392,951.94735247
180,30.37090561,69.34399501,0.20682998,0.21980476,9.87357775,951.68528284
181,30.37088304,69.34412336,0.09434894,0.25026137,9.84608360,951.44465264
182,30.37086326,69.34425233,0.01241192,0.20894981,9.75354741,951.28412412
183,30.37084628,69.34438183,-0.00610552,0.29873182,9.78377399,951.08851290
184,30.37083212,69.34451179,0.06370207,0.34917283,9.83446873,950.90949267
185,30.37082078,69.34464211,0.02051966,0.38930924,9.74889361,950.81494165
186,30.37081226,69.34477273,0.05948716,0.31859334,9.84564992,950.73330788
187,30.37080659,69.34490356,0.03952832,0.39681771,9.79798373,950.67309473
188,30.37080375,69.34503451,0.00429428,0.24668098,9.79125896,950.67930289
189,30.37080375,69.34516549,-0.04233969,0.23061666,9.84554800,950.70805453
190,30.37080659,69.34529644,-0.08367809,0.31290867,9.83221317,950.75246799
191,30.37081226,69.34542727,-0.03819219,0.33459020,9.79195169,950.81434086
192,30.37082078,69.34555789,0.01903281,0.31325387,9.86796649,950.95099721
193,30.37083212,69.34568821,-0.02098812,0.21081928,9.75594683,951.11486076
194,30.37084628,69.34581817,-0.10186539,0.30883971,9.84079678,951.29529306
195,30.37086326,69.34594767,-0.03878006,0.24697869,9.83965506,951.54608176
196,30.37088304,69.34607664,-0.03600392,0.34439505,9.79452268,951.76983999
197,30.37090561,69.34620499,-0.10725844,0.32775421,9.82630665,952.01563730
198,30.37093095,69.34633265,-0.06313526,0.26074774,9.74744432,952.30907890
199,30.37095906,69.34645952,-0.07562229,0.28017144,9.85620135,952.64622326
200,30.37098990,69.34658554,-0.14334286,0.25083398,9.80075489,953.01970719
201,30.37102347,69.34671061,-0.07591214,0.29839869,9.78386385,953.41382597
202,30.37105974,69.34683467,-0.07331020,0.34683729,9.86245046,953.84988294
203,30.37109869,69.34695764,-0.05468077,0.24715250,9.77478282,954.28366721
204,30.37114029,69.34707943,-0.06355840,0.31881252,9.73957694,954.80086464
205,30.37118452,69.34719997,-0.19247371,0.26408325,9.73216854,955.31673990
206,30.37123135,69.34731919,-0.17774517,0.24775488,9.84030050,955.88547075
207,30.37128075,69.34743700,-0.11228318,0.27866787,9.74597853,956.46722895
208,30.37133268,69.34755334,-0.11943949,0.22869875,9.89773971,957.07942043
209,30.37138712,69.34766812,-0.12637858,0.24904272,9.70590353,957.72164094
210,30.37144404,69.34778129,0.03359953,0.21292084,9.89482282,958.38878737
211,30.37150339,69.34789276,-0.13729816,0.36696821,9.82055087,959.08678211
212,30.37156514,69.34800247,-0.11576528,0.26624262,9.80516434,959.82501724
213,30.37162924,69.34811034,-0.13143538,0.22507361,9.78275405,960.56665843
214,30.37169567,69.34821632,-0.15304466,0.26617506,9.82995681,961.34413824
215,30.37176437,69.34832032,-0.20773921,0.24511448,9.80811826,962.13074625
216,30.37183530,69.34842229,-0.16026755,0.23477885,9.86516509,962.97255232
217,30.37190843,69.34852216,-0.24297233,0.27147684,9.81571138,963.79611155
218,30.37198369,69.34861987,-0.22215801,0.27343299,9.81751509,964.69276782
219,30.37206105,69.34871536,-0.24043842,0.20367287,9.79181939,965.57560453
220,30.37214046,69.34880857,-0.21779316,0.19590194,9.80715272,966.45306869
221,30.37222186,69.34889943,-0.11173042,0.20529327,9.82539009,967.38357333
222,30.37230521,69.34898789,-0.32625942,0.09816444,9.72449158,968.31916690
223,30.37239044,69.34907389,-0.20386885,0.13158089,9.74259073,969.30586208
224,30.37247752,69.34915739,-0.32395292,0.26963315,9.84716320,970.28274206
225,30.37256638,69.34923832,-0.27189530,0.27735967,9.81854327,971.28317073
226,30.37265696,69.34931664,-0.19867593,0.17635809,9.80080083,972.27350945
227,30.37274921,69.34939230,-0.25457433,0.21121710,9.81092170,973.31071546
228,30.37284308,69.34946524,-0.31617761,0.19141591,9.82737909,974.32594646
229,30.37293850,69.34953543,-0.30239194,0.32315052,9.78301202,975.37475615
230,30.37303540,69.34960282,-0.23681484,0.21843144,9.77108476,976.48654342
231,30.37313374,69.34966736,-0.31130999,0.14920041,9.81979226,977.61423142
232,30.37323345,69.34972902,-0.26779210,0.10086459,9.76108136,978.74939759
233,30.37333446,69.34978775,-0.27998382,0.06127073,9.83041264,979.87068277
234,30.37343672,69.34984353,-0.31831154,0.14462823,9.72487082,981.02359469
235,30.37354015,69.34989630,-0.18182294,0.08941459,9.86145778,982.18989554
236,30.37364469,69.34994605,-0.26043028,0.04881615,9.83362987,983.34486529
237,30.37375028,69.34999274,-0.39630492,0.08022116,9.82280149,984.56408430
238,30.37385684,69.35003633,-0.28846029,0.05102228,9.85913455,985.78103946
239,30.37396432,69.35007681,-0.33341945,0.18194025,9.89327372,986.98552129
240,30.37407264,69.35011414,-0.26006589,0.13408702,9.86071850,988.20368360
241,30.37418174,69.35014831,-0.34447983,0.08197141,9.71795629,989.43342407
242,30.37429154,69.35017929,-0.31256431,0.14868023,9.74602115,990.62533008
243,30.37440198,69.35020706,-0.28335801,0.07081725,9.77875907,991.85951024
244,30.37451299,69.35023161,-0.26690459,0.01610814,9.81130455,993.09058831
245,30.37462449,69.35025291,-0.37159621,0.12751471,9.83588295,994.32007519
246,30.37473643,69.35027096,-0.32949870,0.07045772,9.77371281,995.56797841
247,30.37484871,69.35028574,-0.33751559,-0.01622387,9.81933834,996.86066520
248,30.37496128,69.35029725,-0.34723129,0.01822522,9.77223085,998.13262277
249,30.37507407,69.35030548,-0.22688994,-0.02395256,9.77942411,999.38194586
250,30.37518700,69.35031041,-0.29516275,-0.05327229,9.73966695,1000.65494743
